judge,artist,vote
E8,持修,0
E8,桃子假象,0
E8,橘子海,3
E8,焦迈奇,0
E8,百合花,0
E8,短裤里的诗歌,0
E8,莫宰羊,0
E8,钱正昊,1
E8,陈家麟Whle,0
E8,9m88,2
E9,AR 刘夫阳,2
E9,Daytrip Dormancy,0
E9,Dru Chen,0
E9,Dusty Bottle,0
E9,SoulFa,0
E9,SOUTH ACID MIMI,0
E9,THE BOOTLEGS 靴腿,0
E9,イルカポリス 海豚刑警,0
E9,威神V WayV,0
E9,九连真人,3
E9,余佩真,0
E9,傻子与白痴,2
E9,刘思鉴,2
E9,右侧合流,2
E9,吴林峰,0
E9,告五人,3
E9,唐猫 SUGARCAT,0
E9,太一,4
E9,张洢豪,0
E9,持修,0
E9,桃子假象,1
E9,橘子海,4
E9,焦迈奇,0
E9,百合花,2
E9,短裤里的诗歌,0
E9,莫宰羊,0
E9,钱正昊,0
E9,陈家麟Whle,0
E9,9m88,0
E10,AR 刘夫阳,0
E10,Daytrip Dormancy,0
E10,Dru Chen,0
E10,Dusty Bottle,1
E10,SoulFa,3
E10,SOUTH ACID MIMI,0
E10,THE BOOTLEGS 靴腿,0
E10,イルカポリス 海豚刑警,1
E10,威神V WayV,0
E10,九连真人,4
E10,余佩真,0
E10,傻子与白痴,3
E10,刘思鉴,1
E10,右侧合流,0
E10,吴林峰,0
E10,告五人,3
E10,唐猫 SUGARCAT,0
E10,太一,3
E10,张洢豪,2
E10,持修,0
E10,桃子假象,1
E10,橘子海,3
E10,焦迈奇,1
E10,百合花,0
E10,短裤里的诗歌,1
E10,莫宰羊,0
E10,钱正昊,1
E10,陈家麟Whle,0
E10,9m88,2
E11,AR 刘夫阳,0
E11,Daytrip Dormancy,0
E11,Dru Chen,0
E11,Dusty Bottle,0
E11,SoulFa,2
E11,SOUTH ACID MIMI,0
E11,THE BOOTLEGS 靴腿,0
E11,イルカポリス 海豚刑警,0
E11,威神V WayV,0
E11,九连真人,3
E11,余佩真,0
E11,傻子与白痴,6
E11,刘思鉴,0
E11,右侧合流,0
E11,吴林峰,0
E11,告五人,0
E11,唐猫 SUGARCAT,0
E11,太一,0
E11,张洢豪,0
E11,持修,0
E11,桃子假象,0
E11,橘子海,0
E11,焦迈奇,3
E11,百合花,0
E11,短裤里的诗歌,0
E11,莫宰羊,0
E11,钱正昊,0
E11,陈家麟Whle,0
E11,9m88,0
E12,AR 刘夫阳,0
E12,Daytrip Dormancy,0
E12,Dru Chen,0
E12,Dusty Bottle,0
E12,SoulFa,3
E12,SOUTH ACID MIMI,0
E12,THE BOOTLEGS 靴腿,0
E12,イルカポリス 海豚刑警,1
E12,威神V WayV,0
E12,九连真人,0
E12,余佩真,0
E12,傻子与白痴,3
E12,刘思鉴,0
E12,右侧合流,1
E12,吴林峰,0
E12,告五人,3
E12,唐猫 SUGARCAT,0
E12,太一,1
E12,张洢豪,1
E12,持修,1
E12,桃子假象,1
E12,橘子海,7
E12,焦迈奇,1
E12,百合花,0
E12,短裤里的诗歌,0
E12,莫宰羊,0
E12,钱正昊,1
E12,陈家麟Whle,0
E12,9m88,4
E13,AR 刘夫阳,0
E13,Daytrip Dormancy,4
E13,Dru Chen,0
E13,Dusty Bottle,0
E13,SoulFa,3
E13,SOUTH ACID MIMI,2
E13,THE BOOTLEGS 靴腿,3
E13,イルカポリス 海豚刑警,1
E13,威神V WayV,0
E13,九连真人,2
E13,余佩真,2
E13,傻子与白痴,2
E13,刘思鉴,0
E13,右侧合流,2
E13,吴林峰,2
E13,告五人,3
E13,唐猫 SUGARCAT,1
E13,太一,0
E13,张洢豪,0
E13,持修,3
E13,桃子假象,1
E13,橘子海,2
E13,焦迈奇,0
E13,百合花,2
E13,短裤里的诗歌,2
E13,莫宰羊,0
E13,钱正昊,1
E13,陈家麟Whle,2
E13,9m88,2
E14,AR 刘夫阳,0
E14,Daytrip Dormancy,0
E14,Dru Chen,1
E14,Dusty Bottle,3
E14,SoulFa,1
E14,SOUTH ACID MIMI,0
E14,THE BOOTLEGS 靴腿,0
E14,イルカポリス 海豚刑警,4
E14,威神V WayV,0
E14,九连真人,2
E14,余佩真,5
E14,傻子与白痴,2
E14,刘思鉴,0
E14,右侧合流,1
E14,吴林峰,0
E14,告五人,3
E14,唐猫 SUGARCAT,0
E14,太一,0
E14,张洢豪,0
E14,持修,1
E14,桃子假象,0
E14,橘子海,2
E14,焦迈奇,0
E14,百合花,4
E14,短裤里的诗歌,2
E14,莫宰羊,0
E14,钱正昊,0
E14,陈家麟Whle,2
E14,9m88,1
E15,AR 刘夫阳,0
E15,Daytrip Dormancy,0
E15,Dru Chen,0
E15,Dusty Bottle,0
E15,SoulFa,0
E15,SOUTH ACID MIMI,4
E15,THE BOOTLEGS 靴腿,0
E15,イルカポリス 海豚刑警,7
E15,威神V WayV,0
E15,九连真人,0
E15,余佩真,1
E15,傻子与白痴,0
E15,刘思鉴,0
E15,右侧合流,0
E15,吴林峰,0
E15,告五人,0
E15,唐猫 SUGARCAT,0
E15,太一,0
E15,张洢豪,0
E15,持修,0
E15,桃子假象,0
E15,橘子海,1
E15,焦迈奇,0
E15,百合花,0
E15,短裤里的诗歌,1
E15,莫宰羊,4
E15,钱正昊,2
E15,陈家麟Whle,0
E15,9m88,0
E16,AR 刘夫阳,0
E16,Daytrip Dormancy,0
E16,Dru Chen,0
E16,Dusty Bottle,0
E16,SoulFa,0
E16,SOUTH ACID MIMI,0
E16,THE BOOTLEGS 靴腿,3
E16,イルカポリス 海豚刑警,5
E16,威神V WayV,0
E16,九连真人,0
E16,余佩真,0
E16,傻子与白痴,2
E16,刘思鉴,0
E16,右侧合流,0
E16,吴林峰,0
E16,告五人,6
E16,唐猫 SUGARCAT,0
E16,太一,0
E16,张洢豪,0
E16,持修,0
E16,桃子假象,0
E16,橘子海,4
E16,焦迈奇,0
E16,百合花,1
E16,短裤里的诗歌,0
E16,莫宰羊,0
E16,钱正昊,0
E16,陈家麟Whle,3
E16,9m88,0
E17,AR 刘夫阳,1
E17,Daytrip Dormancy,0
E17,Dru Chen,0
E17,Dusty Bottle,0
E17,SoulFa,0
E17,SOUTH ACID MIMI,0
E17,THE BOOTLEGS 靴腿,0
E17,イルカポリス 海豚刑警,0
E17,威神V WayV,0
E17,九连真人,0
E17,余佩真,4
E17,傻子与白痴,3
E17,刘思鉴,2
E17,右侧合流,0
E17,吴林峰,0
E17,告五人,1
E17,唐猫 SUGARCAT,2
E17,太一,1
E17,张洢豪,0
E17,持修,2
E17,桃子假象,0
E17,橘子海,0
E17,焦迈奇,6
E17,百合花,0
E17,短裤里的诗歌,0
E17,莫宰羊,3
E17,钱正昊,2
E17,陈家麟Whle,0
E17,9m88,0
E18,AR 刘夫阳,5
E18,Daytrip Dormancy,0
E18,Dru Chen,0
E18,Dusty Bottle,0
E18,SoulFa,1
E18,SOUTH ACID MIMI,0
E18,THE BOOTLEGS 靴腿,0
E18,イルカポリス 海豚刑警,1
E18,威神V WayV,0
E18,九连真人,1
E18,余佩真,5
E18,傻子与白痴,0
E18,刘思鉴,0
E18,右侧合流,0
E18,吴林峰,0
E18,告五人,2
E18,唐猫 SUGARCAT,0
E18,太一,0
E18,张洢豪,0
E18,持修,2
E18,桃子假象,0
E18,橘子海,0
E18,焦迈奇,0
E18,百合花,5
E18,短裤里的诗歌,0
E18,莫宰羊,1
E18,钱正昊,2
E18,陈家麟Whle,0
E18,9m88,3
E19,AR 刘夫阳,1
E19,Daytrip Dormancy,0
E19,Dru Chen,0
E19,Dusty Bottle,1
E19,SoulFa,2
E19,SOUTH ACID MIMI,0
E19,THE BOOTLEGS 靴腿,0
E19,イルカポリス 海豚刑警,2
E19,威神V WayV,1
E19,九连真人,4
E19,余佩真,0
E19,傻子与白痴,4
E19,刘思鉴,0
E19,右侧合流,0
E19,吴林峰,0
E19,告五人,4
E19,唐猫 SUGARCAT,0
E19,太一,2
E19,张洢豪,2
E19,持修,0
E19,桃子假象,1
E19,橘子海,2
E19,焦迈奇,2
E19,百合花,2
E19,短裤里的诗歌,0
E19,莫宰羊,3
E19,钱正昊,0
E19,陈家麟Whle,0
E19,9m88,2
E20,AR 刘夫阳,0
E20,Daytrip Dormancy,2
E20,Dru Chen,0
E20,Dusty Bottle,2
E20,SoulFa,2
E20,SOUTH ACID MIMI,3
E20,THE BOOTLEGS 靴腿,2
E20,イルカポリス 海豚刑警,0
E20,威神V WayV,0
E20,九连真人,4
E20,余佩真,0
E20,傻子与白痴,0
E20,刘思鉴,2
E20,右侧合流,4
E20,吴林峰,0
E20,告五人,0
E20,唐猫 SUGARCAT,0
E20,太一,0
E20,张洢豪,0
E20,持修,0
E20,桃子假象,0
E20,橘子海,3
E20,焦迈奇,0
E20,百合花,0
E20,短裤里的诗歌,2
E20,莫宰羊,0
E20,钱正昊,0
E20,陈家麟Whle,0
E20,9m88,0
E21,AR 刘夫阳,0
E21,Daytrip Dormancy,0
E21,Dru Chen,0
E21,Dusty Bottle,0
E21,SoulFa,0
E21,SOUTH ACID MIMI,0
E21,THE BOOTLEGS 靴腿,0
E21,イルカポリス 海豚刑警,2
E21,威神V WayV,0
E21,九连真人,0
E21,余佩真,0
E21,傻子与白痴,0
E21,刘思鉴,2
E21,右侧合流,2
E21,吴林峰,0
E21,告五人,0
E21,唐猫 SUGARCAT,0
E21,太一,0
E21,张洢豪,0
E21,持修,0
E21,桃子假象,0
E21,橘子海,4
E21,焦迈奇,4
E21,百合花,0
E21,短裤里的诗歌,1
E21,莫宰羊,0
E21,钱正昊,0
E21,陈家麟Whle,0
E21,9m88,0
E22,AR 刘夫阳,0
E22,Daytrip Dormancy,0
E22,Dru Chen,0
E22,Dusty Bottle,0
E22,SoulFa,0
E22,SOUTH ACID MIMI,2
E22,THE BOOTLEGS 靴腿,1
E22,イルカポリス 海豚刑警,1
E22,威神V WayV,5
E22,九连真人,2
E22,余佩真,0
E22,傻子与白痴,2
E22,刘思鉴,0
E22,右侧合流,0
E22,吴林峰,0
E22,告五人,2
E22,唐猫 SUGARCAT,1
E22,太一,1
E22,张洢豪,0
E22,持修,0
E22,桃子假象,2
E22,橘子海,0
E22,焦迈奇,3
E22,百合花,3
E22,短裤里的诗歌,2
E22,莫宰羊,4
E22,钱正昊,0
E22,陈家麟Whle,2
E22,9m88,3
E23,AR 刘夫阳,0
E23,Daytrip Dormancy,3
E23,Dru Chen,4
E23,Dusty Bottle,4
E23,SoulFa,0
E23,SOUTH ACID MIMI,0
E23,THE BOOTLEGS 靴腿,3
E23,イルカポリス 海豚刑警,0
E23,威神V WayV,0
E23,九连真人,0
E23,余佩真,0
E23,傻子与白痴,3
E23,刘思鉴,0
E23,右侧合流,0
E23,吴林峰,0
E23,告五人,0
E23,唐猫 SUGARCAT,0
E23,太一,0
E23,张洢豪,0
E23,持修,0
E23,桃子假象,0
E23,橘子海,0
E23,焦迈奇,0
E23,百合花,3
E23,短裤里的诗歌,0
E23,莫宰羊,0
E23,钱正昊,0
E23,陈家麟Whle,0
E23,9m88,3
E24,AR 刘夫阳,0
E24,Daytrip Dormancy,0
E24,Dru Chen,0
E24,Dusty Bottle,2
E24,SoulFa,0
E24,SOUTH ACID MIMI,0
E24,THE BOOTLEGS 靴腿,0
E24,イルカポリス 海豚刑警,0
E24,威神V WayV,0
E24,九连真人,2
E24,余佩真,0
E24,傻子与白痴,2
E24,刘思鉴,0
E24,右侧合流,0
E24,吴林峰,0
E24,告五人,3
E24,唐猫 SUGARCAT,0
E24,太一,0
E24,张洢豪,0
E24,持修,0
E24,桃子假象,0
E24,橘子海,0
E24,焦迈奇,0
E24,百合花,3
E24,短裤里的诗歌,0
E24,莫宰羊,0
E24,钱正昊,0
E24,陈家麟Whle,0
E24,9m88,8
E25,AR 刘夫阳,0
E25,Daytrip Dormancy,0
E25,Dru Chen,0
E25,Dusty Bottle,5
E25,SoulFa,0
E25,SOUTH ACID MIMI,0
E25,THE BOOTLEGS 靴腿,0
E25,イルカポリス 海豚刑警,4
E25,威神V WayV,0
E25,九连真人,0
E25,余佩真,0
E25,傻子与白痴,5
E25,刘思鉴,0
E25,右侧合流,0
E25,吴林峰,0
E25,告五人,0
E25,唐猫 SUGARCAT,0
E25,太一,0
E25,张洢豪,0
E25,持修,0
E25,桃子假象,0
E25,橘子海,0
E25,焦迈奇,0
E25,百合花,0
E25,短裤里的诗歌,0
E25,莫宰羊,0
E25,钱正昊,4
E25,陈家麟Whle,0
E25,9m88,0
E26,AR 刘夫阳,0
E26,Daytrip Dormancy,0
E26,Dru Chen,0
E26,Dusty Bottle,0
E26,SoulFa,0
E26,SOUTH ACID MIMI,2
E26,THE BOOTLEGS 靴腿,0
E26,イルカポリス 海豚刑警,0
E26,威神V WayV,0
E26,九连真人,3
E26,余佩真,0
E26,傻子与白痴,0
E26,刘思鉴,0
E26,右侧合流,1
E26,吴林峰,0
E26,告五人,2
E26,唐猫 SUGARCAT,1
E26,太一,1
E26,张洢豪,0
E26,持修,1
E26,桃子假象,0
E26,橘子海,3
E26,焦迈奇,0
E26,百合花,2
E26,短裤里的诗歌,0
E26,莫宰羊,2
E26,钱正昊,1
E26,陈家麟Whle,2
E26,9m88,3
E27,AR 刘夫阳,0
E27,Daytrip Dormancy,1
E27,Dru Chen,1
E27,Dusty Bottle,1
E27,SoulFa,1
E27,SOUTH ACID MIMI,1
E27,THE BOOTLEGS 靴腿,1
E27,イルカポリス 海豚刑警,1
E27,威神V WayV,0
E27,九连真人,3
E27,余佩真,1
E27,傻子与白痴,3
E27,刘思鉴,0
E27,右侧合流,0
E27,吴林峰,1
E27,告五人,3
E27,唐猫 SUGARCAT,1
E27,太一,0
E27,张洢豪,0
E27,持修,1
E27,桃子假象,0
E27,橘子海,2
E27,焦迈奇,2
E27,百合花,0
E27,短裤里的诗歌,1
E27,莫宰羊,7
E27,钱正昊,0
E27,陈家麟Whle,0
E27,9m88,2
E28,AR 刘夫阳,0
E28,Daytrip Dormancy,0
E28,Dru Chen,0
E28,Dusty Bottle,0
E28,SoulFa,0
E28,SOUTH ACID MIMI,0
E28,THE BOOTLEGS 靴腿,0
E28,イルカポリス 海豚刑警,0
E28,威神V WayV,0
E28,九连真人,0
E28,余佩真,0
E28,傻子与白痴,0
E28,刘思鉴,0
E28,右侧合流,0
E28,吴林峰,0
E28,告五人,0
E28,唐猫 SUGARCAT,0
E28,太一,0
E28,张洢豪,0
E28,持修,0
E28,桃子假象,0
E28,橘子海,0
E28,焦迈奇,0
E28,百合花,0
E28,短裤里的诗歌,0
E28,莫宰羊,0
E28,钱正昊,0
E28,陈家麟Whle,0
E28,9m88,0
E29,AR 刘夫阳,0
E29,Daytrip Dormancy,0
E29,Dru Chen,1
E29,Dusty Bottle,1
E29,SoulFa,2
E29,SOUTH ACID MIMI,1
E29,THE BOOTLEGS 靴腿,0
E29,イルカポリス 海豚刑警,0
E29,威神V WayV,0
E29,九连真人,1
E29,余佩真,1
E29,傻子与白痴,2
E29,刘思鉴,2
E29,右侧合流,0
E29,吴林峰,1
E29,告五人,6
E29,唐猫 SUGARCAT,3
E29,太一,4
E29,张洢豪,1
E29,持修,2
E29,桃子假象,0
E29,橘子海,1
E29,焦迈奇,2
E29,百合花,0
E29,短裤里的诗歌,0
E29,莫宰羊,3
E29,钱正昊,0
E29,陈家麟Whle,1
E29,9m88,1
E30,AR 刘夫阳,2
E30,Daytrip Dormancy,0
E30,Dru Chen,0
E30,Dusty Bottle,0
E30,SoulFa,0
E30,SOUTH ACID MIMI,0
E30,THE BOOTLEGS 靴腿,0
E30,イルカポリス 海豚刑警,0
E30,威神V WayV,0
E30,九连真人,0
E30,余佩真,0
E30,傻子与白痴,5
E30,刘思鉴,0
E30,右侧合流,0
E30,吴林峰,0
E30,告五人,0
E30,唐猫 SUGARCAT,3
E30,太一,3
E30,张洢豪,0
E30,持修,0
E30,桃子假象,0
E30,橘子海,0
E30,焦迈奇,0
E30,百合花,0
E30,短裤里的诗歌,0
E30,莫宰羊,5
E30,钱正昊,0
E30,陈家麟Whle,0
E30,9m88,5
E31,AR 刘夫阳,2
E31,Daytrip Dormancy,0
E31,Dru Chen,0
E31,Dusty Bottle,0
E31,SoulFa,0
E31,SOUTH ACID MIMI,0
E31,THE BOOTLEGS 靴腿,0
E31,イルカポリス 海豚刑警,0
E31,威神V WayV,0
E31,九连真人,5
E31,余佩真,0
E31,傻子与白痴,0
E31,刘思鉴,0
E31,右侧合流,0
E31,吴林峰,0
E31,告五人,0
E31,唐猫 SUGARCAT,0
E31,太一,0
E31,张洢豪,0
E31,持修,0
E31,桃子假象,0
E31,橘子海,4
E31,焦迈奇,6
E31,百合花,0
E31,短裤里的诗歌,2
E31,莫宰羊,0
E31,钱正昊,0
E31,陈家麟Whle,3
E31,9m88,0
E32,AR 刘夫阳,0
E32,Daytrip Dormancy,0
E32,Dru Chen,0
E32,Dusty Bottle,0
E32,SoulFa,0
E32,SOUTH ACID MIMI,0
E32,THE BOOTLEGS 靴腿,0
E32,イルカポリス 海豚刑警,0
E32,威神V WayV,0
E32,九连真人,8
E32,余佩真,0
E32,傻子与白痴,2
E32,刘思鉴,4
E32,右侧合流,0
E32,吴林峰,0
E32,告五人,2
E32,唐猫 SUGARCAT,0
E32,太一,0
E32,张洢豪,0
E32,持修,0
E32,桃子假象,0
E32,橘子海,0
E32,焦迈奇,2
E32,百合花,1
E32,短裤里的诗歌,0
E32,莫宰羊,2
E32,钱正昊,1
E32,陈家麟Whle,0
E32,9m88,0
E33,AR 刘夫阳,3
E33,Daytrip Dormancy,1
E33,Dru Chen,0
E33,Dusty Bottle,0
E33,SoulFa,0
E33,SOUTH ACID MIMI,3
E33,THE BOOTLEGS 靴腿,2
E33,イルカポリス 海豚刑警,1
E33,威神V WayV,0
E33,九连真人,5
E33,余佩真,0
E33,傻子与白痴,0
E33,刘思鉴,0
E33,右侧合流,0
E33,吴林峰,0
E33,告五人,0
E33,唐猫 SUGARCAT,0
E33,太一,4
E33,张洢豪,0
E33,持修,0
E33,桃子假象,0
E33,橘子海,2
E33,焦迈奇,0
E33,百合花,5
E33,短裤里的诗歌,0
E33,莫宰羊,0
E33,钱正昊,0
E33,陈家麟Whle,2
E33,9m88,0
E34,AR 刘夫阳,0
E34,Daytrip Dormancy,0
E34,Dru Chen,0
E34,Dusty Bottle,0
E34,SoulFa,5
E34,SOUTH ACID MIMI,0
E34,THE BOOTLEGS 靴腿,0
E34,イルカポリス 海豚刑警,3
E34,威神V WayV,0
