judge,artist,album,vote
E3,群星,过春天 电影原声碟,0
E3,懒惰致富集团,飞艇计划,0
E3,陈蕾,1029,0
E4,佛跳墙,BJ肆,0
E4,Robynn & Kendy,Curations,0
E4,吉克隽逸,Global Citizen世界公民Ⅲ,0
E4,陈珊妮,Juvenile A,0
E4,缺省,Life In A Vacuum,0
E4,小尘埃,Little By Little,0
E4,邓小巧,No Coincidence,0
E4,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,6
E4,威神V WayV,Take Off (The 1st Mini Album),0
E4,谢安琪/麦浚龙,The Album And The Rest Of It,0
E4,粉红A,为艺术牺牲,4
E4,丢莱卡,健忘的平原,0
E4,全家福合唱团,全家福II,3
E4,养鸡,养鸡的梦境,1
E4,小老虎,北京吗,0
E4,张雄关,危险地带,3
E4,宫阁,即将上映,0
E4,傻子与白痴,夜长梦少,0
E4,Howie Lee,天地不仁,4
E4,吴青峰,太空人,0
E4,许哲佩,失物之城,0
E4,丁世光,实况电影,0
E4,周华健,少年,0
E4,莫宰羊,幻想曲,0
E4,倒车入库,庸人自扰,0
E4,Ice Paper,成语接龙,0
E4,梁静茹,我好吗? - 太阳如常升起,0
E4,家家,我想要的,0
E4,短裤里的诗歌,我还喜欢你,0
E4,许廷铿,拾,0
E4,鬼卞,无间,0
E4,刘柏辛,无限意识Meta Ego,3
E4,鲁向卉,时间/木马,0
E4,AR刘夫阳,校园寓言故事,0
E4,熊仔/豹子胆,梦想成真,0
E4,橘子海,浪潮上岸,0
E4,苏紫旭,混乱之子,0
E4,脏手指,滥情三部曲,0
E4,百合花,烧金蕉,0
E4,王若琳,爱的呼唤,0
E4,郑宜农,给天王星,0
E4,邱比,至繁,0
E4,发光曲线,荒野星,0
E4,魏如萱,藏着并不等于遗忘,0
E4,伍佰&China Blue,让水倒流,0
E4,杨乃文,越美丽越看不见,0
E4,郁可唯,路过人间,0
E4,群星,过春天 电影原声碟,2
E4,懒惰致富集团,飞艇计划,0
E4,陈蕾,1029,0
E5,佛跳墙,BJ肆,2
E5,Robynn & Kendy,Curations,0
E5,吉克隽逸,Global Citizen世界公民Ⅲ,0
E5,陈珊妮,Juvenile A,3
E5,缺省,Life In A Vacuum,0
E5,小尘埃,Little By Little,0
E5,邓小巧,No Coincidence,2
E5,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E5,威神V WayV,Take Off (The 1st Mini Album),0
E5,谢安琪/麦浚龙,The Album And The Rest Of It,3
E5,粉红A,为艺术牺牲,0
E5,丢莱卡,健忘的平原,0
E5,全家福合唱团,全家福II,0
E5,养鸡,养鸡的梦境,0
E5,小老虎,北京吗,0
E5,张雄关,危险地带,0
E5,宫阁,即将上映,2
E5,傻子与白痴,夜长梦少,0
E5,Howie Lee,天地不仁,0
E5,吴青峰,太空人,0
E5,许哲佩,失物之城,2
E5,丁世光,实况电影,0
E5,周华健,少年,0
E5,莫宰羊,幻想曲,0
E5,倒车入库,庸人自扰,3
E5,Ice Paper,成语接龙,0
