judge,artist,song,vote
D2,尹吾,我承认,0
D2,九连真人,莫欺少年穷,0
D2,五条人,匈奴王,0
D2,伍佰&China Blue,让水倒流,5
D2,佛跳墙,关你屁事,0
D2,佛跳墙,无名氏,0
D2,傻子与白痴,5:10a.m.,0
D2,傻子与白痴,夜长梦少,0
D2,傻子与白痴,象牙舟,0
D2,全家福合唱团,感恩节,0
D2,全家福合唱团,爱上福利社,0
D2,凹与山/李漫,一切好事都会发生,0
D2,刘柏辛,Manta,0
D2,卢凯彤,光,0
D2,卢凯彤,光之外,0
D2,卢凯彤,圆谎,0
D2,发光曲线,无限引擎,0
D2,发光曲线,灰烬霓虹,0
D2,发光曲线,荒野星,0
D2,右侧合流,躲猫猫,0
D2,吉克隽逸,Looking for Trouble,0
D2,吴建京,灰沙燕,0
D2,吴林峰,下一束光,0
D2,吴青峰,Outsider,0
D2,吴青峰,水仙花之死,0
D2,告五人,爱人错过,5
D2,周华健,少年,0
D2,唐汉霄/周深,末日飞船,0
D2,好妹妹,云野,0
D2,安溥 anpu,ZOEA,0
D2,宋念宇,默念你,0
D2,宝石Gem,野狼Disco,0
D2,宫阁,夕阳·日落,0
D2,家家/方大同,在家里,0
D2,巧克力工厂Chocolate Factory,大肚子飞行员,0
D2,张艺兴,honey,0
D2,方皓玟,人话,0
D2,方皓玟,愿,0
D2,无妄合作社,在围城时与你失散,0
D2,曾轶可,雌雄同体,0
D2,曾轶可,水的记忆,0
D2,李亮辰,渡河,0
D2,李靖筠,第三颗行星,0
D2,杨乃文,在爱和你之间,0
D2,杨乃文/许钧,不再,0
D2,林二汶,最后的信仰,0
D2,林俊杰,将故事写成我们,0
D2,林宥嘉,别让我走远,0
D2,梁静茹,太阳如常升起 I,0
D2,梁静茹,我好吗,0
D2,椅子乐团,城市潜水,0
D2,橘子海,夏日漱石,0
D2,法兹乐队FAZI/海朋森,你把我的脸庞转向明天,0
D2,海朋森,草莓,0
D2,灭火器,双城记,0
D2,焦迈奇,我的名字,0
D2,焦迈奇,松鼠,0
D2,爱是唯一,Darling,0
D2,爱是唯一,Sunshine,0
D2,王若琳,我只在乎你,0
D2,王诗安,太空农场,0
D2,白纸扇,东莞,0
D2,百合花,一枝草,0
D2,祁紫檀,这世上美的事物总让人心碎,0
D2,粉红A,香港香港,0
D2,自闭电台,寻找小羊,0
D2,脏手指,滥情三部曲,0
D2,苏紫旭&The Paramecia,爱的匕首,0
D2,苏紫旭&The Paramecia,当年星,0
D2,苏紫旭&The Paramecia,混乱之子,0
D2,茄子蛋,孤独的人我们一起出发,0
D2,莫宰羊,健康快乐,0
D2,落日飞车,我是一只鱼,5
D2,落日飞车,Vanilla,0
D2,蔡旻佑/艾怡良,伎俩,0
D2,袁娅维,我爱,0
D2,袁娅维,来,0
D2,裘德,颁奖的时候我要缺席,0
D2,许廷铿,十,0
D2,谢安琪,773312,0
D2,路嘉欣,落落大方,0
D2,还潮,舟宿渡夏目漱石,0
D2,邓小巧,精神喂饲,0
D2,邓紫棋,句号,0
D2,邱比,叶柏,0
D2,邱比,柔黄,0
D2,郁可唯,路过人间,0
D2,郑宜农,千千万万,0
D2,陈家麟Whle,Pluto,0
D2,陈楚生,趋光号,0
D2,陈珊妮/吕士轩,成为一个厉害的普通人,0
